home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points
Belgium,Japan,3,2,Round of 16,2018,2,9.0,1742.235945,18.0,1661.576187
Spain,Russia,1,1,Round of 16,2018,1,2.0,1873.013187,35.0,1527.237131
Croatia,Denmark,1,1,Round of 16,2018,1,11.0,1714.865572,21.0,1619.474248
France,Argentina,4,3,Round of 16,2018,2,3.0,1869.428449,1.0,1876.118331
Uruguay,Portugal,2,1,Round of 16,2018,2,16.0,1673.068603,5.0,1766.177547
Japan,Poland,0,1,Group stage,2018,0,18.0,1661.576187,36.0,1526.183359
Senegal,Colombia,0,1,Group stage,2018,0,15.0,1686.412769,13.0,1698.351858
England,Belgium,0,1,Group stage,2018,0,4.0,1827.048678,9.0,1742.235945
Panama,Tunisia,1,2,Group stage,2018,0,34.0,1539.155509,46.0,1476.405088
Korea Republic,Germany,2,0,Group stage,2018,2,25.0,1591.630886,10.0,1735.771984
Mexico,Sweden,0,3,Group stage,2018,0,14.0,1687.481759,38.0,1509.785392
Switzerland,Costa Rica,2,2,Group stage,2018,1,19.0,1650.064179,52.0,1457.00228
Serbia,Brazil,0,2,Group stage,2018,0,43.0,1502.133186,6.0,1765.856297
Australia,Peru,0,2,Group stage,2018,0,27.0,1579.34264,51.0,1459.390555
Denmark,France,0,0,Group stage,2018,1,21.0,1619.474248,3.0,1869.428449
Iceland,Croatia,1,2,Group stage,2018,0,74.0,1343.920201,11.0,1714.865572
Nigeria,Argentina,1,2,Group stage,2018,0,26.0,1586.688586,1.0,1876.118331
Saudi Arabia,Egypt,2,1,Group stage,2018,2,61.0,1421.538339,29.0,1562.367246
Uruguay,Russia,3,0,Group stage,2018,2,16.0,1673.068603,35.0,1527.237131
Spain,Morocco,2,2,Group stage,2018,1,2.0,1873.013187,7.0,1755.100232
IR Iran,Portugal,1,1,Group stage,2018,1,20.0,1619.58163,5.0,1766.177547
England,Panama,6,1,Group stage,2018,2,4.0,1827.048678,34.0,1539.155509
Japan,Senegal,2,2,Group stage,2018,1,18.0,1661.576187,15.0,1686.412769
Poland,Colombia,0,3,Group stage,2018,0,36.0,1526.183359,13.0,1698.351858
Belgium,Tunisia,5,2,Group stage,2018,2,9.0,1742.235945,46.0,1476.405088
Korea Republic,Mexico,1,2,Group stage,2018,0,25.0,1591.630886,14.0,1687.481759
