home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points
Brazil,Türkiye,1,0,Semi-finals,2002,2,6.0,1765.856297,22.0,1605.730921
Germany,Korea Republic,1,0,Semi-finals,2002,2,10.0,1735.771984,25.0,1591.630886
Spain,Korea Republic,0,0,Quarter-finals,2002,1,2.0,1873.013187,25.0,1591.630886
Senegal,Türkiye,0,1,Quarter-finals,2002,0,15.0,1686.412769,22.0,1605.730921
England,Brazil,1,2,Quarter-finals,2002,0,4.0,1827.048678,6.0,1765.856297
Japan,Türkiye,0,1,Round of 16,2002,0,18.0,1661.576187,22.0,1605.730921
Korea Republic,Italy,2,1,Round of 16,2002,2,25.0,1591.630886,12.0,1704.733836
Brazil,Belgium,2,0,Round of 16,2002,2,6.0,1765.856297,9.0,1742.235945
Sweden,Senegal,1,2,Round of 16,2002,0,38.0,1509.785392,15.0,1686.412769
Spain,Republic of Ireland,1,1,Round of 16,2002,1,2.0,1873.013187,58.0,1441.096901
Germany,Paraguay,1,0,Round of 16,2002,2,10.0,1735.771984,40.0,1505.349689
Denmark,England,0,3,Round of 16,2002,0,21.0,1619.474248,4.0,1827.048678
Tunisia,Japan,0,2,Group stage,2002,0,46.0,1476.405088,18.0,1661.576187
Belgium,Russia,3,2,Group stage,2002,2,9.0,1742.235945,35.0,1527.237131
Portugal,Korea Republic,0,1,Group stage,2002,0,5.0,1766.177547,25.0,1591.630886
Costa Rica,Brazil,2,5,Group stage,2002,0,52.0,1457.00228,6.0,1765.856297
Türkiye,China PR,3,0,Group stage,2002,2,22.0,1605.730921,92.0,1254.848285
Mexico,Italy,1,1,Group stage,2002,1,14.0,1687.481759,12.0,1704.733836
Ecuador,Croatia,1,0,Group stage,2002,2,23.0,1598.51582,11.0,1714.865572
Sweden,Argentina,1,1,Group stage,2002,1,38.0,1509.785392,1.0,1876.118331
Nigeria,England,0,0,Group stage,2002,1,26.0,1586.688586,4.0,1827.048678
South Africa,Spain,2,3,Group stage,2002,0,60.0,1428.379282,2.0,1873.013187
Slovenia,Paraguay,1,3,Group stage,2002,0,59.0,1441.087158,40.0,1505.349689
Denmark,France,2,0,Group stage,2002,2,21.0,1619.474248,3.0,1869.428449
Senegal,Uruguay,3,3,Group stage,2002,1,15.0,1686.412769,16.0,1673.068603
Saudi Arabia,Republic of Ireland,0,3,Group stage,2002,0,61.0,1421.538339,58.0,1441.096901
Cameroon,Germany,0,2,Group stage,2002,0,44.0,1481.235245,10.0,1735.771984
Tunisia,Belgium,1,1,Group stage,2002,1,46.0,1476.405088,9.0,1742.235945
Portugal,Poland,4,0,Group stage,2002,2,5.0,1766.177547,36.0,1526.183359
Mexico,Ecuador,2,1,Group stage,2002,2,14.0,1687.481759,23.0,1598.51582
Costa Rica,Türkiye,1,1,Group stage,2002,1,52.0,1457.00228,22.0,1605.730921
Japan,Russia,1,0,Group stage,2002,2,18.0,1661.576187,35.0,1527.237131
South Africa,Slovenia,1,0,Group stage,2002,2,60.0,1428.379282,59.0,1441.087158
Italy,Croatia,1,2,Group stage,2002,0,12.0,1704.733836,11.0,1714.865572
Brazil,China PR,4,0,Group stage,2002,2,6.0,1765.856297,92.0,1254.848285
Sweden,Nigeria,2,1,Group stage,2002,2,38.0,1509.785392,26.0,1586.688586
Spain,Paraguay,3,1,Group stage,2002,2,2.0,1873.013187,40.0,1505.349689
Argentina,England,0,1,Group stage,2002,0,1.0,1876.118331,4.0,1827.048678
Denmark,Senegal,1,1,Group stage,2002,1,21.0,1619.474248,15.0,1686.412769
Cameroon,Saudi Arabia,1,0,Group stage,2002,2,44.0,1481.235245,61.0,1421.538339
France,Uruguay,0,0,Group stage,2002,1,3.0,1869.428449,16.0,1673.068603
Russia,Tunisia,2,0,Group stage,2002,2,35.0,1527.237131,46.0,1476.405088
Germany,Republic of Ireland,1,1,Group stage,2002,1,10.0,1735.771984,58.0,1441.096901
China PR,Costa Rica,0,2,Group stage,2002,0,92.0,1254.848285,52.0,1457.00228
Japan,Belgium,2,2,Group stage,2002,1,18.0,1661.576187,9.0,1742.235945
Korea Republic,Poland,2,0,Group stage,2002,2,25.0,1591.630886,36.0,1526.183359
Croatia,Mexico,0,1,Group stage,2002,0,11.0,1714.865572,14.0,1687.481759
Brazil,Türkiye,2,1,Group stage,2002,2,6.0,1765.856297,22.0,1605.730921
Italy,Ecuador,2,0,Group stage,2002,2,12.0,1704.733836,23.0,1598.51582
Argentina,Nigeria,1,0,Group stage,2002,2,1.0,1876.118331,26.0,1586.688586
Paraguay,South Africa,2,2,Group stage,2002,1,40.0,1505.349689,60.0,1428.379282
England,Sweden,1,1,Group stage,2002,1,4.0,1827.048678,38.0,1509.785392
Spain,Slovenia,3,1,Group stage,2002,2,2.0,1873.013187,59.0,1441.087158
Republic of Ireland,Cameroon,1,1,Group stage,2002,1,58.0,1441.096901,44.0,1481.235245
Uruguay,Denmark,1,2,Group stage,2002,0,16.0,1673.068603,21.0,1619.474248
Germany,Saudi Arabia,8,0,Group stage,2002,2,10.0,1735.771984,61.0,1421.538339
France,Senegal,0,1,Group stage,2002,0,3.0,1869.428449,15.0,1686.412769
Brazil,France,0,3,Final,1998,0,6.0,1765.856297,3.0,1869.428449
Netherlands,Croatia,1,2,Third-place match,1998,0,8.0,1751.097835,11.0,1714.865572
France,Croatia,2,1,Semi-finals,1998,2,3.0,1869.428449,11.0,1714.865572
Brazil,Netherlands,1,1,Semi-finals,1998,1,6.0,1765.856297,8.0,1751.097835
Netherlands,Argentina,2,1,Quarter-finals,1998,2,8.0,1751.097835,1.0,1876.118331
Germany,Croatia,0,3,Quarter-finals,1998,0,10.0,1735.771984,11.0,1714.865572
Italy,France,0,0,Quarter-finals,1998,1,12.0,1704.733836,3.0,1869.428449
Brazil,Denmark,3,2,Quarter-finals,1998,2,6.0,1765.856297,21.0,1619.474248
Romania,Croatia,0,1,Round of 16,1998,0,53.0,1455.894657,11.0,1714.865572
Argentina,England,2,2,Round of 16,1998,1,1.0,1876.118331,4.0,1827.048678
Germany,Mexico,2,1,Round of 16,1998,2,10.0,1735.771984,14.0,1687.481759
France,Paraguay,1,0,Round of 16,1998,2,3.0,1869.428449,40.0,1505.349689
Nigeria,Denmark,1,4,Round of 16,1998,0,26.0,1586.688586,21.0,1619.474248
Italy,Norway,1,0,Round of 16,1998,2,12.0,1704.733836,31.0,1557.437664
Brazil,Chile,4,1,Round of 16,1998,2,6.0,1765.856297,55.0,1452.939983
Argentina,Croatia,1,0,Group stage,1998,2,1.0,1876.118331,11.0,1714.865572
Japan,Jamaica,1,2,Group stage,1998,0,18.0,1661.576187,71.0,1357.840144
Romania,Tunisia,1,1,Group stage,1998,1,53.0,1455.894657,46.0,1476.405088
Colombia,England,0,2,Group stage,1998,0,13.0,1698.351858,4.0,1827.048678
Netherlands,Mexico,2,2,Group stage,1998,1,8.0,1751.097835,14.0,1687.481759
Belgium,Korea Republic,1,1,Group stage,1998,1,9.0,1742.235945,25.0,1591.630886
Germany,IR Iran,2,0,Group stage,1998,2,10.0,1735.771984,20.0,1619.58163
South Africa,Saudi Arabia,2,2,Group stage,1998,1,60.0,1428.379282,61.0,1421.538339
France,Denmark,2,1,Group stage,1998,2,3.0,1869.428449,21.0,1619.474248
Spain,Bulgaria,6,1,Group stage,1998,2,2.0,1873.013187,87.0,1271.683325
Nigeria,Paraguay,1,3,Group stage,1998,0,26.0,1586.688586,40.0,1505.349689
Italy,Austria,2,1,Group stage,1998,2,12.0,1704.733836,24.0,1597.404087
Chile,Cameroon,1,1,Group stage,1998,1,55.0,1452.939983,44.0,1481.235245
Brazil,Norway,1,2,Group stage,1998,0,6.0,1765.856297,31.0,1557.437664
Scotland,Morocco,0,3,Group stage,1998,0,42.0,1503.34027,7.0,1755.100232
Colombia,Tunisia,1,0,Group stage,1998,2,13.0,1698.351858,46.0,1476.405088
Romania,England,2,1,Group stage,1998,2,53.0,1455.894657,4.0,1827.048678
Argentina,Jamaica,5,0,Group stage,1998,2,1.0,1876.118331,71.0,1357.840144
Japan,Croatia,0,1,Group stage,1998,0,18.0,1661.576187,11.0,1714.865572
Belgium,Mexico,2,2,Group stage,1998,1,9.0,1742.235945,14.0,1687.481759
Netherlands,Korea Republic,5,0,Group stage,1998,2,8.0,1751.097835,25.0,1591.630886
Nigeria,Bulgaria,1,0,Group stage,1998,2,26.0,1586.688586,87.0,1271.683325
Spain,Paraguay,0,0,Group stage,1998,1,2.0,1873.013187,40.0,1505.349689
South Africa,Denmark,1,1,Group stage,1998,1,60.0,1428.379282,21.0,1619.474248
France,Saudi Arabia,4,0,Group stage,1998,2,3.0,1869.428449,61.0,1421.538339
Chile,Austria,1,1,Group stage,1998,1,55.0,1452.939983,24.0,1597.404087
Italy,Cameroon,3,0,Group stage,1998,2,12.0,1704.733836,44.0,1481.235245
Scotland,Norway,1,1,Group stage,1998,1,42.0,1503.34027,31.0,1557.437664
Brazil,Morocco,3,0,Group stage,1998,2,6.0,1765.856297,7.0,1755.100232
England,Tunisia,2,0,Group stage,1998,2,4.0,1827.048678,46.0,1476.405088
Romania,Colombia,1,0,Group stage,1998,2,53.0,1455.894657,13.0,1698.351858
Argentina,Japan,1,0,Group stage,1998,2,1.0,1876.118331,18.0,1661.576187
Jamaica,Croatia,1,3,Group stage,1998,0,71.0,1357.840144,11.0,1714.865572
Spain,Nigeria,2,3,Group stage,1998,0,2.0,1873.013187,26.0,1586.688586
Korea Republic,Mexico,1,3,Group stage,1998,0,25.0,1591.630886,14.0,1687.481759
Netherlands,Belgium,0,0,Group stage,1998,1,8.0,1751.097835,9.0,1742.235945
Paraguay,Bulgaria,0,0,Group stage,1998,1,40.0,1505.349689,87.0,1271.683325
Saudi Arabia,Denmark,0,1,Group stage,1998,0,61.0,1421.538339,21.0,1619.474248
France,South Africa,3,0,Group stage,1998,2,3.0,1869.428449,60.0,1428.379282
Italy,Chile,2,2,Group stage,1998,1,12.0,1704.733836,55.0,1452.939983
Cameroon,Austria,1,1,Group stage,1998,1,44.0,1481.235245,24.0,1597.404087
Brazil,Scotland,2,1,Group stage,1998,2,6.0,1765.856297,42.0,1503.34027
Morocco,Norway,2,2,Group stage,1998,1,7.0,1755.100232,31.0,1557.437664
Brazil,Italy,0,0,Final,1994,1,6.0,1765.856297,12.0,1704.733836
Sweden,Bulgaria,4,0,Third-place match,1994,2,38.0,1509.785392,87.0,1271.683325
Bulgaria,Italy,1,2,Semi-finals,1994,0,87.0,1271.683325,12.0,1704.733836
Sweden,Brazil,0,1,Semi-finals,1994,0,38.0,1509.785392,6.0,1765.856297
Bulgaria,Germany,2,1,Quarter-finals,1994,2,87.0,1271.683325,10.0,1735.771984
Romania,Sweden,2,2,Quarter-finals,1994,1,53.0,1455.894657,38.0,1509.785392
Italy,Spain,2,1,Quarter-finals,1994,2,12.0,1704.733836,2.0,1873.013187
Netherlands,Brazil,2,3,Quarter-finals,1994,0,8.0,1751.097835,6.0,1765.856297
Nigeria,Italy,1,2,Round of 16,1994,0,26.0,1586.688586,12.0,1704.733836
Mexico,Bulgaria,1,1,Round of 16,1994,1,14.0,1687.481759,87.0,1271.683325
Netherlands,Republic of Ireland,2,0,Round of 16,1994,2,8.0,1751.097835,58.0,1441.096901
Saudi Arabia,Sweden,1,3,Round of 16,1994,0,61.0,1421.538339,38.0,1509.785392
Romania,Argentina,3,2,Round of 16,1994,2,53.0,1455.894657,1.0,1876.118331
Germany,Belgium,3,2,Round of 16,1994,2,10.0,1735.771984,9.0,1742.235945
Spain,Switzerland,3,0,Round of 16,1994,2,2.0,1873.013187,19.0,1650.064179
Greece,Nigeria,0,2,Group stage,1994,0,48.0,1473.187305,26.0,1586.688586
Argentina,Bulgaria,0,2,Group stage,1994,0,1.0,1876.118331,87.0,1271.683325
Morocco,Netherlands,1,2,Group stage,1994,0,7.0,1755.100232,8.0,1751.097835
Belgium,Saudi Arabia,0,1,Group stage,1994,0,9.0,1742.235945,61.0,1421.538339
Italy,Mexico,1,1,Group stage,1994,1,12.0,1704.733836,14.0,1687.481759
Republic of Ireland,Norway,0,0,Group stage,1994,1,58.0,1441.096901,31.0,1557.437664
Russia,Cameroon,6,1,Group stage,1994,2,35.0,1527.237131,44.0,1481.235245
Brazil,Sweden,1,1,Group stage,1994,1,6.0,1765.856297,38.0,1509.785392
Germany,Korea Republic,3,2,Group stage,1994,2,10.0,1735.771984,25.0,1591.630886
Bolivia,Spain,1,3,Group stage,1994,0,77.0,1325.995377,2.0,1873.013187
Bulgaria,Greece,4,0,Group stage,1994,2,87.0,1271.683325,48.0,1473.187305
Switzerland,Colombia,0,2,Group stage,1994,0,19.0,1650.064179,13.0,1698.351858
Belgium,Netherlands,1,0,Group stage,1994,2,9.0,1742.235945,8.0,1751.097835
Saudi Arabia,Morocco,2,1,Group stage,1994,2,61.0,1421.538339,7.0,1755.100232
Argentina,Nigeria,2,1,Group stage,1994,2,1.0,1876.118331,26.0,1586.688586
Mexico,Republic of Ireland,2,1,Group stage,1994,2,14.0,1687.481759,58.0,1441.096901
Brazil,Cameroon,3,0,Group stage,1994,2,6.0,1765.856297,44.0,1481.235245
Sweden,Russia,3,1,Group stage,1994,2,38.0,1509.785392,35.0,1527.237131
Italy,Norway,1,0,Group stage,1994,2,12.0,1704.733836,31.0,1557.437664
Korea Republic,Bolivia,0,0,Group stage,1994,1,25.0,1591.630886,77.0,1325.995377
Romania,Switzerland,1,4,Group stage,1994,0,53.0,1455.894657,19.0,1650.064179
Argentina,Greece,4,0,Group stage,1994,2,1.0,1876.118331,48.0,1473.187305
Germany,Spain,1,1,Group stage,1994,1,10.0,1735.771984,2.0,1873.013187
Nigeria,Bulgaria,3,0,Group stage,1994,2,26.0,1586.688586,87.0,1271.683325
Brazil,Russia,2,0,Group stage,1994,2,6.0,1765.856297,35.0,1527.237131
Netherlands,Saudi Arabia,2,1,Group stage,1994,2,8.0,1751.097835,61.0,1421.538339
Belgium,Morocco,1,0,Group stage,1994,2,9.0,1742.235945,7.0,1755.100232
Norway,Mexico,1,0,Group stage,1994,2,31.0,1557.437664,14.0,1687.481759
Cameroon,Sweden,2,2,Group stage,1994,1,44.0,1481.235245,38.0,1509.785392
Italy,Republic of Ireland,0,1,Group stage,1994,0,12.0,1704.733836,58.0,1441.096901
Colombia,Romania,1,3,Group stage,1994,0,13.0,1698.351858,53.0,1455.894657
Germany,Bolivia,1,0,Group stage,1994,2,10.0,1735.771984,77.0,1325.995377
Spain,Korea Republic,2,2,Group stage,1994,1,2.0,1873.013187,25.0,1591.630886
Italy,England,2,1,Third-place match,1990,2,12.0,1704.733836,4.0,1827.048678
Italy,Argentina,1,1,Semi-finals,1990,1,12.0,1704.733836,1.0,1876.118331
England,Cameroon,3,2,Quarter-finals,1990,2,4.0,1827.048678,44.0,1481.235245
Italy,Republic of Ireland,1,0,Quarter-finals,1990,2,12.0,1704.733836,58.0,1441.096901
England,Belgium,1,0,Round of 16,1990,2,4.0,1827.048678,9.0,1742.235945
Republic of Ireland,Romania,0,0,Round of 16,1990,1,58.0,1441.096901,53.0,1455.894657
Italy,Uruguay,2,0,Round of 16,1990,2,12.0,1704.733836,16.0,1673.068603
Brazil,Argentina,0,1,Round of 16,1990,0,6.0,1765.856297,1.0,1876.118331
Cameroon,Colombia,2,1,Round of 16,1990,2,44.0,1481.235245,13.0,1698.351858
Belgium,Spain,1,2,Group stage,1990,0,9.0,1742.235945,2.0,1873.013187
Korea Republic,Uruguay,0,1,Group stage,1990,0,25.0,1591.630886,16.0,1673.068603
Republic of Ireland,Netherlands,1,1,Group stage,1990,1,58.0,1441.096901,8.0,1751.097835
England,Egypt,1,0,Group stage,1990,2,4.0,1827.048678,29.0,1562.367246
Sweden,Costa Rica,1,2,Group stage,1990,0,38.0,1509.785392,52.0,1457.00228
Brazil,Scotland,1,0,Group stage,1990,2,6.0,1765.856297,42.0,1503.34027
Argentina,Romania,1,1,Group stage,1990,1,1.0,1876.118331,53.0,1455.894657
Republic of Ireland,Egypt,0,0,Group stage,1990,1,58.0,1441.096901,29.0,1562.367246
Belgium,Uruguay,3,1,Group stage,1990,2,9.0,1742.235945,16.0,1673.068603
Korea Republic,Spain,1,3,Group stage,1990,0,25.0,1591.630886,2.0,1873.013187
Brazil,Costa Rica,1,0,Group stage,1990,2,6.0,1765.856297,52.0,1457.00228
England,Netherlands,0,0,Group stage,1990,1,4.0,1827.048678,8.0,1751.097835
Sweden,Scotland,1,2,Group stage,1990,0,38.0,1509.785392,42.0,1503.34027
Cameroon,Romania,2,1,Group stage,1990,2,44.0,1481.235245,53.0,1455.894657
Uruguay,Spain,0,0,Group stage,1990,1,16.0,1673.068603,2.0,1873.013187
Belgium,Korea Republic,2,0,Group stage,1990,2,9.0,1742.235945,25.0,1591.630886
Netherlands,Egypt,1,1,Group stage,1990,1,8.0,1751.097835,29.0,1562.367246
Costa Rica,Scotland,1,0,Group stage,1990,2,52.0,1457.00228,42.0,1503.34027
England,Republic of Ireland,1,1,Group stage,1990,1,4.0,1827.048678,58.0,1441.096901
Brazil,Sweden,2,1,Group stage,1990,2,6.0,1765.856297,38.0,1509.785392
United Arab Emirates,Colombia,0,2,Group stage,1990,0,68.0,1370.469434,13.0,1698.351858
Italy,Austria,1,0,Group stage,1990,2,12.0,1704.733836,24.0,1597.404087
Argentina,Cameroon,0,1,Group stage,1990,0,1.0,1876.118331,44.0,1481.235245
France,Belgium,4,2,Third-place match,1986,2,3.0,1869.428449,9.0,1742.235945
Argentina,Belgium,2,0,Semi-finals,1986,2,1.0,1876.118331,9.0,1742.235945
Argentina,England,2,1,Quarter-finals,1986,2,1.0,1876.118331,4.0,1827.048678
Spain,Belgium,1,1,Quarter-finals,1986,1,2.0,1873.013187,9.0,1742.235945
Brazil,France,1,1,Quarter-finals,1986,1,6.0,1765.856297,3.0,1869.428449
England,Paraguay,3,0,Round of 16,1986,2,4.0,1827.048678,40.0,1505.349689
Denmark,Spain,1,5,Round of 16,1986,0,21.0,1619.474248,2.0,1873.013187
Italy,France,0,2,Round of 16,1986,0,12.0,1704.733836,3.0,1869.428449
Brazil,Poland,4,0,Round of 16,1986,2,6.0,1765.856297,36.0,1526.183359
Argentina,Uruguay,1,0,Round of 16,1986,2,1.0,1876.118331,16.0,1673.068603
Mexico,Bulgaria,2,0,Round of 16,1986,2,14.0,1687.481759,87.0,1271.683325
Scotland,Uruguay,0,0,Group stage,1986,1,42.0,1503.34027,16.0,1673.068603
Algeria,Spain,0,3,Group stage,1986,0,28.0,1571.033293,2.0,1873.013187
Northern Ireland,Brazil,0,3,Group stage,1986,0,70.0,1366.564198,6.0,1765.856297
Paraguay,Belgium,2,2,Group stage,1986,1,40.0,1505.349689,9.0,1742.235945
Iraq,Mexico,0,1,Group stage,1986,0,56.0,1451.153466,14.0,1687.481759
England,Poland,3,0,Group stage,1986,2,4.0,1827.048678,36.0,1526.183359
Portugal,Morocco,1,3,Group stage,1986,0,5.0,1766.177547,7.0,1755.100232
Argentina,Bulgaria,2,0,Group stage,1986,2,1.0,1876.118331,87.0,1271.683325
Korea Republic,Italy,2,3,Group stage,1986,0,25.0,1591.630886,12.0,1704.733836
Hungary,France,0,3,Group stage,1986,0,41.0,1504.135797,3.0,1869.428449
Iraq,Belgium,1,2,Group stage,1986,0,56.0,1451.153466,9.0,1742.235945
Denmark,Uruguay,6,1,Group stage,1986,2,21.0,1619.474248,16.0,1673.068603
Mexico,Paraguay,1,1,Group stage,1986,1,14.0,1687.481759,40.0,1505.349689
Northern Ireland,Spain,1,2,Group stage,1986,0,70.0,1366.564198,2.0,1873.013187
Poland,Portugal,1,0,Group stage,1986,2,36.0,1526.183359,5.0,1766.177547
Brazil,Algeria,1,0,Group stage,1986,2,6.0,1765.856297,28.0,1571.033293
Hungary,Canada,2,0,Group stage,1986,2,41.0,1504.135797,30.0,1559.479301
England,Morocco,0,0,Group stage,1986,1,4.0,1827.048678,7.0,1755.100232
Italy,Argentina,1,1,Group stage,1986,1,12.0,1704.733836,1.0,1876.118331
Korea Republic,Bulgaria,1,1,Group stage,1986,1,25.0,1591.630886,87.0,1271.683325
Paraguay,Iraq,1,0,Group stage,1986,2,40.0,1505.349689,56.0,1451.153466
Scotland,Denmark,0,1,Group stage,1986,0,42.0,1503.34027,21.0,1619.474248
Belgium,Mexico,1,2,Group stage,1986,0,9.0,1742.235945,14.0,1687.481759
Algeria,Northern Ireland,1,1,Group stage,1986,1,28.0,1571.033293,70.0,1366.564198
Portugal,England,1,0,Group stage,1986,2,5.0,1766.177547,4.0,1827.048678
Argentina,Korea Republic,3,1,Group stage,1986,2,1.0,1876.118331,25.0,1591.630886
Morocco,Poland,0,0,Group stage,1986,1,7.0,1755.100232,36.0,1526.183359
Spain,Brazil,0,1,Group stage,1986,0,2.0,1873.013187,6.0,1765.856297
Canada,France,0,1,Group stage,1986,0,30.0,1559.479301,3.0,1869.428449
Bulgaria,Italy,1,1,Group stage,1986,1,87.0,1271.683325,12.0,1704.733836
Poland,France,3,2,Third-place match,1982,2,36.0,1526.183359,3.0,1869.428449
Poland,Italy,0,2,Semi-finals,1982,0,36.0,1526.183359,12.0,1704.733836
Italy,Brazil,3,2,Second group stage,1982,2,12.0,1704.733836,6.0,1765.856297
Spain,England,0,0,Second group stage,1982,1,2.0,1873.013187,4.0,1827.048678
France,Northern Ireland,4,1,Second group stage,1982,2,3.0,1869.428449,70.0,1366.564198
Argentina,Brazil,1,3,Second group stage,1982,0,1.0,1876.118331,6.0,1765.856297
Austria,Northern Ireland,2,2,Second group stage,1982,1,24.0,1597.404087,70.0,1366.564198
Italy,Argentina,2,1,Second group stage,1982,2,12.0,1704.733836,1.0,1876.118331
Austria,France,0,1,Second group stage,1982,0,24.0,1597.404087,3.0,1869.428449
Poland,Belgium,3,0,Second group stage,1982,2,36.0,1526.183359,9.0,1742.235945
England,Kuwait,1,0,First group stage,1982,2,4.0,1827.048678,133.0,1106.474587
Northern Ireland,Spain,1,0,First group stage,1982,2,70.0,1366.564198,2.0,1873.013187
Algeria,Chile,3,2,First group stage,1982,2,28.0,1571.033293,55.0,1452.939983
Italy,Cameroon,1,1,First group stage,1982,1,12.0,1704.733836,44.0,1481.235245
Argentina,El Salvador,2,0,First group stage,1982,2,1.0,1876.118331,101.0,1225.344607
Brazil,New Zealand,4,0,First group stage,1982,2,6.0,1765.856297,85.0,1275.581062
Poland,Peru,5,1,First group stage,1982,2,36.0,1526.183359,51.0,1459.390555
Belgium,Hungary,1,1,First group stage,1982,1,9.0,1742.235945,41.0,1504.135797
Algeria,Austria,0,2,First group stage,1982,0,28.0,1571.033293,24.0,1597.404087
France,Kuwait,4,1,First group stage,1982,2,3.0,1869.428449,133.0,1106.474587
Honduras,Northern Ireland,1,1,First group stage,1982,1,65.0,1378.970301,70.0,1366.564198
Poland,Cameroon,0,0,First group stage,1982,1,36.0,1526.183359,44.0,1481.235245
Belgium,El Salvador,1,0,First group stage,1982,2,9.0,1742.235945,101.0,1225.344607
Italy,Peru,1,1,First group stage,1982,1,12.0,1704.733836,51.0,1459.390555
Brazil,Scotland,4,1,First group stage,1982,2,6.0,1765.856297,42.0,1503.34027
Argentina,Hungary,4,1,First group stage,1982,2,1.0,1876.118331,41.0,1504.135797
Chile,Austria,0,1,First group stage,1982,0,55.0,1452.939983,24.0,1597.404087
England,France,3,1,First group stage,1982,2,4.0,1827.048678,3.0,1869.428449
Spain,Honduras,1,1,First group stage,1982,1,2.0,1873.013187,65.0,1378.970301
Peru,Cameroon,0,0,First group stage,1982,1,51.0,1459.390555,44.0,1481.235245
Hungary,El Salvador,10,1,First group stage,1982,2,41.0,1504.135797,101.0,1225.344607
Scotland,New Zealand,5,2,First group stage,1982,2,42.0,1503.34027,85.0,1275.581062
Italy,Poland,0,0,First group stage,1982,1,12.0,1704.733836,36.0,1526.183359
Argentina,Belgium,0,1,First group stage,1982,0,1.0,1876.118331,9.0,1742.235945
Argentina,Netherlands,3,1,Final,1978,2,1.0,1876.118331,8.0,1751.097835
Brazil,Italy,2,1,Third-place match,1978,2,6.0,1765.856297,12.0,1704.733836
Netherlands,Italy,2,1,Second round,1978,2,8.0,1751.097835,12.0,1704.733836
Brazil,Poland,3,1,Second round,1978,2,6.0,1765.856297,36.0,1526.183359
Argentina,Peru,6,0,Second round,1978,2,1.0,1876.118331,51.0,1459.390555
Poland,Peru,1,0,Second round,1978,2,36.0,1526.183359,51.0,1459.390555
Italy,Austria,1,0,Second round,1978,2,12.0,1704.733836,24.0,1597.404087
Argentina,Brazil,0,0,Second round,1978,1,1.0,1876.118331,6.0,1765.856297
Netherlands,Austria,5,1,Second round,1978,2,8.0,1751.097835,24.0,1597.404087
Brazil,Peru,3,0,Second round,1978,2,6.0,1765.856297,51.0,1459.390555
Argentina,Poland,2,0,Second round,1978,2,1.0,1876.118331,36.0,1526.183359
Brazil,Austria,1,0,First round,1978,2,6.0,1765.856297,24.0,1597.404087
Spain,Sweden,1,0,First round,1978,2,2.0,1873.013187,38.0,1509.785392
Peru,IR Iran,4,1,First round,1978,2,51.0,1459.390555,20.0,1619.58163
Scotland,Netherlands,3,2,First round,1978,2,42.0,1503.34027,8.0,1751.097835
France,Hungary,3,1,First round,1978,2,3.0,1869.428449,41.0,1504.135797
Poland,Mexico,3,1,First round,1978,2,36.0,1526.183359,14.0,1687.481759
Italy,Argentina,1,0,First round,1978,2,12.0,1704.733836,1.0,1876.118331
Austria,Sweden,1,0,First round,1978,2,24.0,1597.404087,38.0,1509.785392
Brazil,Spain,0,0,First round,1978,1,6.0,1765.856297,2.0,1873.013187
Netherlands,Peru,0,0,First round,1978,1,8.0,1751.097835,51.0,1459.390555
Scotland,IR Iran,1,1,First round,1978,1,42.0,1503.34027,20.0,1619.58163
Italy,Hungary,3,1,First round,1978,2,12.0,1704.733836,41.0,1504.135797
Poland,Tunisia,1,0,First round,1978,2,36.0,1526.183359,46.0,1476.405088
Argentina,France,2,1,First round,1978,2,1.0,1876.118331,3.0,1869.428449
Sweden,Brazil,1,1,First round,1978,1,38.0,1509.785392,6.0,1765.856297
Austria,Spain,2,1,First round,1978,2,24.0,1597.404087,2.0,1873.013187
Peru,Scotland,3,1,First round,1978,2,51.0,1459.390555,42.0,1503.34027
Netherlands,IR Iran,3,0,First round,1978,2,8.0,1751.097835,20.0,1619.58163
Italy,France,2,1,First round,1978,2,12.0,1704.733836,3.0,1869.428449
Tunisia,Mexico,3,1,First round,1978,2,46.0,1476.405088,14.0,1687.481759
Argentina,Hungary,2,1,First round,1978,2,1.0,1876.118331,41.0,1504.135797
Brazil,Poland,0,1,Third-place match,1974,0,6.0,1765.856297,36.0,1526.183359
Netherlands,Brazil,2,0,Second round,1974,2,8.0,1751.097835,6.0,1765.856297
Argentina,Brazil,1,2,Second round,1974,0,1.0,1876.118331,6.0,1765.856297
Sweden,Poland,0,1,Second round,1974,0,38.0,1509.785392,36.0,1526.183359
Netherlands,Argentina,4,0,Second round,1974,2,8.0,1751.097835,1.0,1876.118331
Bulgaria,Netherlands,1,4,First round,1974,0,87.0,1271.683325,8.0,1751.097835
Poland,Italy,2,1,First round,1974,2,36.0,1526.183359,12.0,1704.733836
Sweden,Uruguay,3,0,First round,1974,2,38.0,1509.785392,16.0,1673.068603
Argentina,Haiti,4,1,First round,1974,2,1.0,1876.118331,83.0,1293.096585
Australia,Chile,0,0,First round,1974,1,27.0,1579.34264,55.0,1452.939983
Haiti,Poland,0,7,First round,1974,0,83.0,1293.096585,36.0,1526.183359
Bulgaria,Uruguay,1,1,First round,1974,1,87.0,1271.683325,16.0,1673.068603
Netherlands,Sweden,0,0,First round,1974,1,8.0,1751.097835,38.0,1509.785392
Argentina,Italy,1,1,First round,1974,1,1.0,1876.118331,12.0,1704.733836
